Brand,Model,Title,BodyType,Doors,Seats,Kilometres,Cylinders,EngineLiters,Fuel100KM,Color,City,State,Price,LogPrice,antigüedad,FuelType_Hybrid,FuelType_LPG,FuelType_Premium,FuelType_Unleaded,Transmission_Manual,DriveType_AWD,DriveType_Front,DriveType_Other,DriveType_Rear,UsedOrNew_NEW,UsedOrNew_USED,Cluster,Año_Fabricacion
22,172,2014 Holden Commodore SS-V,7,-0.19541313184443815,-0.10229760166643412,0.5718095380214494,2.2360552813323067,2.62416022864432,1.869102131583757,17,158,1,39986.0,10.596309680272128,10,0,0,1,0,0,0,0,0,1,0,1,1,2014
57,289,2014 Toyota Hilux Workmate,8,-2.386352565355528,-3.0702492154064758,0.9163235585027476,-0.3383172418380758,0.9179628193666983,0.23633620197612573,17,122,1,24999.0,10.126631103850338,10,0,0,0,0,1,0,0,0,1,0,1,0,2014
3,75,2013 Audi A3 Sportback 2.0 TDI Ambition,3,1.819493336867675,-0.10229760166643412,0.47660806397377936,-0.3383172418380758,-0.343375689043855,-1.4418440832843076,17,419,6,19950.0,9.901034546375062,11,0,0,0,0,0,0,1,0,0,0,1,2,2013
28,173,2023 Jeep Compass Night Eagle,6,-0.19541313184443815,-0.10229760166643412,-2.2311851063247894,-0.3383172418380758,0.2445746496916485,0.13255038682889927,19,182,6,44990.0,10.714217748749789,1,0,0,0,1,0,0,1,0,0,1,0,3,2023
28,277,2019 Jeep Grand Cherokee Limited (4X4),6,-0.19541313184443815,-0.10229760166643412,-0.40105117829046283,1.6778175690283474,0.9179628193666983,-0.08122822514728265,17,277,1,51990.0,10.858825905660948,5,0,0,0,0,0,0,0,0,0,0,1,1,2019
29,161,2015 Kia Cerato S,7,-0.19541313184443815,-0.10229760166643412,0.4691996991873994,-0.3383172418380758,-0.6960724986907932,-0.30390266637351315,14,398,0,14999.0,9.615805480084347,9,0,0,0,1,0,0,1,0,0,0,1,0,2015
42,530,2014 Nissan X-Trail ST (fwd),6,-0.19541313184443815,-0.10229760166643412,1.0381155785746727,-0.3383172418380758,0.3718035938769702,0.13255038682889927,19,139,6,17999.0,9.798127036878302,10,0,0,0,1,0,0,1,0,0,0,1,0,2014
22,169,2018 Holden Colorado LS (4X4),8,-0.19541313184443815,-0.10229760166643412,0.7410468371970912,-0.3383172418380758,0.7156780925056878,0.13255038682889927,17,277,1,41990.0,10.645210588588755,6,0,0,0,0,1,0,0,0,0,0,1,0,2018
42,399,2004 Nissan Patrol ST-S (4X4),6,-0.19541313184443815,1.7957787101786438,2.0509755462639645,1.6778175690283474,1.8218986737340135,1.7920782048364727,15,158,1,39986.0,10.596309680272128,20,0,0,0,0,1,0,0,0,0,0,1,1,2004
41,84,2018 Mitsubishi ASX LS (2WD),6,-0.19541313184443815,-0.10229760166643412,0.08688308409227508,-0.3383172418380758,-0.343375689043855,-0.026979852890329403,9,77,6,24905.0,10.122864017281094,6,0,0,0,1,0,0,1,0,0,0,1,3,2018
